,nipt_files,mapping
819,sample_891,sample_819
820,sample_892,sample_820
821,sample_893,sample_821
822,sample_894,sample_822
823,sample_895,sample_823
824,sample_896,sample_824
825,sample_899,sample_825
826,sample_900,sample_826
827,sample_901,sample_827
828,sample_902,sample_828
829,sample_903,sample_829
830,sample_904,sample_830
831,sample_905,sample_831
832,sample_906,sample_832
833,sample_907,sample_833
834,sample_908,sample_834
835,sample_909,sample_835
836,sample_910,sample_836
837,sample_911,sample_837
838,sample_912,sample_838
839,sample_913,sample_839
840,sample_914,sample_840
841,sample_915,sample_841
842,sample_916,sample_842
843,sample_917,sample_843
844,sample_920,sample_844
845,sample_921,sample_845
846,sample_922,sample_846
847,sample_923,sample_847
848,sample_924,sample_848
849,sample_925,sample_849
850,sample_926,sample_850
851,sample_927,sample_851
852,sample_928,sample_852
853,sample_929,sample_853
854,sample_930,sample_854
855,sample_931,sample_855
856,sample_932,sample_856
857,sample_933,sample_857
858,sample_934,sample_858
859,sample_935,sample_859
860,sample_936,sample_860
861,sample_937,sample_861
862,sample_938,sample_862
863,sample_939,sample_863
864,sample_940,sample_864
865,sample_941,sample_865
866,sample_942,sample_866
867,sample_943,sample_867
868,sample_944,sample_868
869,sample_945,sample_869
870,sample_946,sample_870
871,sample_947,sample_871
872,sample_948,sample_872
873,sample_949,sample_873
874,sample_950,sample_874
875,sample_951,sample_875
876,sample_952,sample_876
877,sample_953,sample_877
878,sample_954,sample_878
879,sample_955,sample_879
880,sample_956,sample_880
881,sample_957,sample_881
882,sample_958,sample_882
883,sample_959,sample_883
884,sample_960,sample_884
885,sample_961,sample_885
886,sample_962,sample_886
887,sample_963,sample_887
888,sample_964,sample_888
889,sample_965,sample_889
890,sample_966,sample_890
891,sample_967,sample_891
892,sample_968,sample_892
893,sample_969,sample_893
894,sample_970,sample_894
895,sample_971,sample_895
896,sample_972,sample_896
897,sample_973,sample_897
898,sample_974,sample_898
899,sample_975,sample_899
900,sample_976,sample_900
901,sample_977,sample_901
902,sample_978,sample_902
903,sample_979,sample_903
904,sample_980,sample_904
905,sample_981,sample_905
906,sample_982,sample_906
907,sample_983,sample_907
908,sample_984,sample_908
909,sample_986,sample_909
910,sample_987,sample_910
911,sample_988,sample_911
912,sample_989,sample_912
913,sample_990,sample_913
914,sample_991,sample_914
915,sample_992,sample_915
916,sample_993,sample_916
917,sample_994,sample_917
918,sample_995,sample_918
919,sample_996,sample_919
920,sample_997,sample_920
921,sample_998,sample_921
922,sample_999,sample_922
923,sample_1000,sample_923
924,sample_1001,sample_924
925,sample_1002,sample_925
926,sample_1003,sample_926
927,sample_1004,sample_927
928,sample_1005,sample_928
929,sample_1006,sample_929
930,sample_1007,sample_930
931,sample_1008,sample_931
932,sample_1009,sample_932
933,sample_1010,sample_933
934,sample_1011,sample_934
935,sample_1012,sample_935
936,sample_1013,sample_936
937,sample_1014,sample_937
938,sample_1015,sample_938
939,sample_1016,sample_939
940,sample_1017,sample_940
941,sample_1018,sample_941
942,sample_1019,sample_942
943,sample_1020,sample_943
944,sample_1021,sample_944
945,sample_1022,sample_945
946,sample_1023,sample_946
947,sample_1024,sample_947
948,sample_1025,sample_948
949,sample_1026,sample_949
950,sample_1027,sample_950
951,sample_1029,sample_951
952,sample_1030,sample_952
953,sample_1031,sample_953
954,sample_1032,sample_954
955,sample_1033,sample_955
956,sample_1035,sample_956
957,sample_1036,sample_957
958,sample_1037,sample_958
959,sample_1038,sample_959
960,sample_1039,sample_960
961,sample_1040,sample_961
962,sample_1041,sample_962
963,sample_1042,sample_963
964,sample_1043,sample_964
965,sample_1044,sample_965
966,sample_1045,sample_966
967,sample_1046,sample_967
968,sample_1047,sample_968
969,sample_1048,sample_969
970,sample_1049,sample_970
971,sample_1050,sample_971
972,sample_1051,sample_972
973,sample_1052,sample_973
974,sample_1053,sample_974
975,sample_1054,sample_975
976,sample_1055,sample_976
977,sample_1056,sample_977
978,sample_1057,sample_978
979,sample_1058,sample_979
980,sample_1059,sample_980
981,sample_1060,sample_981
982,sample_1061,sample_982
983,sample_1062,sample_983
984,sample_1063,sample_984
985,sample_1064,sample_985
986,sample_1065,sample_986
987,sample_1066,sample_987
988,sample_1067,sample_988
989,sample_1068,sample_989
990,sample_1069,sample_990
991,sample_1070,sample_991
992,sample_1071,sample_992
993,sample_1072,sample_993
994,sample_1073,sample_994
995,sample_1074,sample_995
996,sample_1075,sample_996
997,sample_1076,sample_997
998,sample_1077,sample_998
999,sample_1078,sample_999
1000,sample_1079,sample_1000
1001,sample_1080,sample_1001
1002,sample_1081,sample_1002
1003,sample_1082,sample_1003
1004,sample_1083,sample_1004
1005,sample_1084,sample_1005
1006,sample_1085,sample_1006
1007,sample_1086,sample_1007
1008,sample_1087,sample_1008
1009,sample_1088,sample_1009
1010,sample_1089,sample_1010
1011,sample_1090,sample_1011
1012,sample_1091,sample_1012
1013,sample_1092,sample_1013
1014,sample_1093,sample_1014
1015,sample_1094,sample_1015
1016,sample_1095,sample_1016
1017,sample_1098,sample_1017
1018,sample_1099,sample_1018
1019,sample_1100,sample_1019
1020,sample_1101,sample_1020
1021,sample_1102,sample_1021
1022,sample_1103,sample_1022
1023,sample_1104,sample_1023
1024,sample_1105,sample_1024
1025,sample_1106,sample_1025
1026,sample_1107,sample_1026
1027,sample_1108,sample_1027
1028,sample_1109,sample_1028
1029,sample_1111,sample_1029
1030,sample_1112,sample_1030
1031,sample_1113,sample_1031
1032,sample_1114,sample_1032
1033,sample_1115,sample_1033
1034,sample_1116,sample_1034
1035,sample_1117,sample_1035
1036,sample_1118,sample_1036
1037,sample_1119,sample_1037
1038,sample_1120,sample_1038
1039,sample_1121,sample_1039
1040,sample_1122,sample_1040
1041,sample_1123,sample_1041
1042,sample_1124,sample_1042
1043,sample_1125,sample_1043
1044,sample_1126,sample_1044
1045,sample_1127,sample_1045
1046,sample_1128,sample_1046
1047,sample_1132,sample_1047
1048,sample_1133,sample_1048
1049,sample_1134,sample_1049
1050,sample_1135,sample_1050
1051,sample_1136,sample_1051
1052,sample_1138,sample_1052
1053,sample_1139,sample_1053
1054,sample_1140,sample_1054
1055,sample_1141,sample_1055
1056,sample_1142,sample_1056
1057,sample_1143,sample_1057
1058,sample_1144,sample_1058
1059,sample_1145,sample_1059
1060,sample_1147,sample_1060
1061,sample_1148,sample_1061
1062,sample_1149,sample_1062
1063,sample_1150,sample_1063
1064,sample_1151,sample_1064
1065,sample_1152,sample_1065
1066,sample_1153,sample_1066
1067,sample_1154,sample_1067
1068,sample_1155,sample_1068
1069,sample_1156,sample_1069
1070,sample_1157,sample_1070
1071,sample_1158,sample_1071
1072,sample_1159,sample_1072
1073,sample_1160,sample_1073
1074,sample_1161,sample_1074
1075,sample_1162,sample_1075
1076,sample_1163,sample_1076
1077,sample_1164,sample_1077
1078,sample_1165,sample_1078
1079,sample_1166,sample_1079
1080,sample_1167,sample_1080
1081,sample_1169,sample_1081
1082,sample_1170,sample_1082
1083,sample_1171,sample_1083
1084,sample_1172,sample_1084
1085,sample_1173,sample_1085
1086,sample_1174,sample_1086
1087,sample_1175,sample_1087
1088,sample_1176,sample_1088
1089,sample_1177,sample_1089
1090,sample_1178,sample_1090
1091,sample_1179,sample_1091
1092,sample_1180,sample_1092
1093,sample_1181,sample_1093
1094,sample_1182,sample_1094
1095,sample_1183,sample_1095
1096,sample_1184,sample_1096
1097,sample_1185,sample_1097
1098,sample_1186,sample_1098
1099,sample_1187,sample_1099
1100,sample_1188,sample_1100
1101,sample_1189,sample_1101
1102,sample_1192,sample_1102
1103,sample_1193,sample_1103
1104,sample_1194,sample_1104
1105,sample_1195,sample_1105
1106,sample_1196,sample_1106
1107,sample_1197,sample_1107
1108,sample_1198,sample_1108
1109,sample_1199,sample_1109
1110,sample_1200,sample_1110
1111,sample_1201,sample_1111
1112,sample_1202,sample_1112
1113,sample_1203,sample_1113
1114,sample_1204,sample_1114
1115,sample_1205,sample_1115
1116,sample_1207,sample_1116
1117,sample_1208,sample_1117
1118,sample_1209,sample_1118
1119,sample_1210,sample_1119
1120,sample_1211,sample_1120
1121,sample_1212,sample_1121
1122,sample_1213,sample_1122
1123,sample_1214,sample_1123
